data_completa_acidente;dispositivo_de_controle_de_tr�fego;condi��o_clim�tica;condi��o_de_ilumina��o;primeiro_tipo_de_acidente;tipo_de_pista_de_tr�fego;alinhamento;superf�cie_da_estrada;cond;defeito_da_estrada;tipo_de_acidente;relacionado_�_interse��o;dano;causa_contributiva_prim�ria;num_unidades;ferimento_mais_grave;ferimentos_total;de;ferimentos;ferimentos_fatais;ferimentos_incapacitantes;ferimentos_n�o_incapacitantes;ferimentos_relatados_n�o_evidentes;ferimentos_sem_indica��o;hora_do_acidente;dia_da_semana_do_acidente;m�s_do_acidente
07/29/2023 01:00:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;TURNING;NOT DIVIDED;STRAIGHT AND LEVEL;UNKNOWN;UNKNOWN;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;UNABLE TO DETERMINE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;13;7;7;;;
08/13/2023 12:11:00 AM;TRAFFIC SIGNAL;CLEAR;DARKNESS, LIGHTED ROAD;TURNING;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;IMPROPER TURNING/NO SIGNAL;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;0;1;8;;;
12/09/2021 10:30:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR END;T-INTERSECTION;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;FOLLOWING TOO CLOSELY;3;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;10;5;12;;;
08/09/2023 07:55:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;UNABLE TO DETERMINE;2;NONINCAPACITATING INJURY;5.0;0.0;0.0;5.0;0.0;0.0;19;4;8;;;
08/19/2023 02:55:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR END;T-INTERSECTION;STRAIGHT AND LEVEL;UNKNOWN;UNKNOWN;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;DRIVING SKILLS/KNOWLEDGE/EXPERIENCE;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;14;7;8;;;
09/06/2023 12:59:00 AM;NO CONTROLS;RAIN;DARKNESS, LIGHTED ROAD;FIXED OBJECT;NOT DIVIDED;STRAIGHT AND LEVEL;WET;UNKNOWN;INJURY AND / OR TOW DUE TO CRASH;N;$501 - $1,500;UNABLE TO DETERMINE;1;NONINCAPACITATING INJURY;2.0;0.0;0.0;2.0;0.0;0.0;0;4;9;;;
12/20/2022 11:45:00 AM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR TO FRONT;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;$501 - $1,500;IMPROPER BACKING;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;2.0;11;3;12;;;
09/20/2023 02:38:00 PM;NO CONTROLS;CLEAR;DAYLIGHT;ANGLE;DIVIDED - W/MEDIAN (NOT RAISED);CURVE, LEVEL;DRY;NO DEFECTS;INJURY AND / OR TOW DUE TO CRASH;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NONINCAPACITATING INJURY;1.0;0.0;0.0;1.0;0.0;1.0;14;4;9;;;
06/04/2018 06:42:00 PM;TRAFFIC SIGNAL;CLEAR;DAYLIGHT;REAR END;NOT DIVIDED;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FOLLOWING TOO CLOSELY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;3.0;18;2;6;;;
09/07/2023 05:30:00 PM;STOP SIGN/FLASHER;CLEAR;DAYLIGHT;ANGLE;FOUR WAY;STRAIGHT AND LEVEL;DRY;NO DEFECTS;NO INJURY / DRIVE AWAY;Y;OVER $1,500;FAILING TO YIELD RIGHT-OF-WAY;2;NO INDICATION OF INJURY;0.0;0.0;0.0;0.0;0.0;4.0;17;5;9;;;
